,Poste,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
0,  Promoteur De Vente, Postes et télécommunications,7,18/12/2023,non spécifié, PLUSIEURS VILLES, CDD, Boostez les ventes, Bac + 2,non spécifié,non spécifié,non spécifié
1,  CAISSIER/CAISSIERE, Commerce de gros et intermédiaires du commerce,10,18/12/2023,non spécifié, RABAT AGDAL, CI,non spécifié, Baccalauréat,non spécifié,"Arabe: Langue maternelle, Francais: Moyen",non spécifié
2,  Ingénieur Génie Civil, Autres,1,18/12/2023,non spécifié, CASABLANCA-ANFA, CDI," o Calculer des fondations complexes et des soutènements pour des affaires en France et en Afrique : parois berlinoises, parois clouées, parois moulées, pieux sécants. ▪ En phase d’avant projet (missions G2 PRO) ▪ En phase exécution o Dimensionner des butonnages o Dimensionner des tunnels (calculs de confinement, tassement, forces de poussée, béton armé) o Dimensionner des ouvrages de génie civil (murs de soutènement, bassins, réservoirs) ▪ En phase d’avant projet (missions G2 PRO) ▪ En phase exécution o Développer commercialement Befes Maroc"," Ingénieur ,Génie civil",non spécifié,Francais: Courant,non spécifié
3,  MAGASINIER EXPERIMENTE, Commerce de gros et intermédiaires du commerce,1,18/12/2023,non spécifié, TANGER-ASSILAH, CI,non spécifié, Baccalauréat,non spécifié,"Francais: Bon, Anglais: Courant, Arabe: Langue maternelle",non spécifié
4,   Comptable," Agriculture, chasse",1,18/12/2023,non spécifié, EL JADIDA, CI,non spécifié,non spécifié, (6 mois - 1 an),Francais: Bon,non spécifié
5,  Secrétaire Médicale, Santé et action sociale,1,18/12/2023, 03/01/2024, RABAT AGDAL, CI, Augmentation du salaire au passage en CDI, Baccalauréat,non spécifié,non spécifié,non spécifié
6,  Médecins Généralistes, Santé et action sociale,8,18/12/2023,non spécifié, ERRACHIDIA, CDD, salaire a négocié lors de l'entretien,non spécifié,non spécifié,"Arabe: Courant, Francais: Courant",non spécifié
7,  Moniteur/éducateur, Activités associatives,2,18/12/2023,non spécifié, ZAGORA, CDD, lieu de travail:douar lakssar lakbir tinfou commune fezouata, Baccalauréat,non spécifié,non spécifié,non spécifié
8,  , Industrie textile,1,18/12/2023,non spécifié, FES, CI," - Effectuer la saisie des opérations comptables, - Effectuer les déclarations comptables, - Etablir la facturation"," Technicien spécialisé ,Comptable d'entreprises", (6 mois - 1 an),non spécifié,non spécifié
9,  Technicien En Maintenance Informatique, Conseil en systèmes informatiques,1,18/12/2023,non spécifié, RABAT IRFANE, CI, Technicien En Maintenance Informatique," Technicien ,Gestion Informatique", (moins de 6 mois),"Francais: CourantEspagnol : Moyen, Arabe: Langue maternelle",non spécifié
10,  Responsable D'entrepôt Avec Permis De Conduire (B) Sur CASABLANCA (logement Assuré) + Connaissances De Base En Anglais, Services fournis principalement aux entreprises,1,18/12/2023, 15/01/2024, EL JADIDA, CDD,non spécifié," Technicien ,Dessinateur d'études en construction métallique", (6 mois - 1 an),non spécifié,non spécifié
11,  Financier, Services fournis principalement aux entreprises,1,18/12/2023, 01/01/2024, CASABLANCA-ANFA, CDI, comptabilité et finance management de projet leadership skills," Bac + 5, master privé, MBA ,Gestion finance", (1 an - 2 ans),"Arabe: Bon, Francais: Courant",non spécifié
12,  Chargé De Recrutement, Services fournis principalement aux entreprises,1,18/12/2023,non spécifié, CASABLANCA-ANFA, CI, Conduite projet Gestion RH Droit du travail," Bac + 5, master privé, MBA ,Ressources humaines", (6 mois - 1 an),"Arabe: Courant, Francais: Courant, Anglais: Moyen",non spécifié
13,  1 Contrôleur De Gestion, Services fournis principalement aux entreprises,1,18/12/2023, 01/01/2024, CASABLANCA-ANFA, CI, Esprit de synthèse Elaboration des budgets Analyse financière," Bac + 5, master privé, MBA ,Contrôle de Gestion et audit interne", (1 an - 2 ans),"Arabe: Courant, Francais: Courant",non spécifié
14,  Consultant Cyber Sécurité, Conseil en systèmes informatiques,1,18/12/2023,non spécifié, CASABLANCA UNIVERSITE HASSAN 2, CDI," • Mener des missions d’expertise sécurité, organisationnelles, puis élaborer un plan stratégique sécuritaire • Mener des analyses de risques • Accompagner à la conformité • Piloter et accompagner en termes de Sécurité des grands projets d’intégration réalisés par la société • Réaliser des actions d’assistance Sécurité sur des projets nécessitant une expertise à haute valeur ajoutée • Élaborer des analyses d’impact • Piloter la mise en place de plan de continuité et de reprise d’activité • Participer à la sensibilisation des collaborateurs",non spécifié,non spécifié,"Francais: Bon, Anglais: Moyen",non spécifié
15,  Technicien Pneumatique, Autres,1,18/12/2023,non spécifié, CASA-AIN CHOCK HAY HASSANI, CI,non spécifié," Technicien ,Charge (e) de la maintenance des systèmes automatises",non spécifié,"Francais: Courant, Arabe: Langue maternelle",non spécifié
16,  Technicien En Construction Métallique Ou Soudeur, Services fournis principalement aux entreprises,1,18/12/2023,non spécifié, FES, CDI," - Montage - Réparation, Réglage et suivi - Adaptation de pièces - Lancement de la production"," Technicien ,Soudure", (6 mois - 1 an),non spécifié,non spécifié
17,  Agent D'accueil ( Traçabilité), Assurance,1,18/12/2023,non spécifié, MEKNES-EL MENZEH, CI, réceptionner et saisir des dossiers de maladie SA/LD réceptionner et valider les demandes d'immatriculation. assurer le traitement des réclamations. mettre à la disposition des adhérents tous les supports de communication, Technicien, (6 mois - 1 an),"Francais: Bon, Arabe: Bon", baccalauréat ou technicien
18,  Assistante Commerciale, Services fournis principalement aux entreprises,1,18/12/2023,non spécifié, CASABLANCA-ANFA, CDI," Veille sur le respect des délais des AO, · Expérience souhaitable dans un poste similaire, · Avoir la volonté et la capacité d’apprendre à travailler en équipe, Avoir un sens de discrétion et respect de la confidentialité, · Ayant un Bac+3 et plus en commerce un diplôme en marketing sera un atout, · Réelle maitrise du français à l’oral comme à l’écrit et un anglais commercial souhaité,"," Bac + 3, bachelor ,Marketing et commerce international", (1 an - 2 ans),"Arabe: Courant, Francais: Courant, Anglais: Courant",non spécifié
19,  Gestionnaire De Paie, Services fournis principalement aux entreprises,1,18/12/2023,non spécifié, CASABLANCA-ANFA, CDI," Avoir la volonté et la capacité d’apprendre à travailler en équipe ; Avoir un sens de discrétion et respect de la confidentialité Vous êtes rigoureux, motivé et ayant le sens de défis. Bonne maîtrise du français à l’oral comme à l’écrit ;"," Diplôme du 2ème cycle universitaire ,Sciences économiques et de Gestion", (2 ans - 3 ans),"Arabe: Courant, Francais: Courant, Anglais: Moyen",non spécifié
20,  Ingénieur Mécanique Automobile (H), Commerce et réparation automobile,1,18/12/2023, 01/01/2024, EL JADIDA, CDI,non spécifié," Ingénieur ,Génie mécanique et structures", (moins de 6 mois),non spécifié,non spécifié
21,   Vendeur/Vendeuse, Autres,2,18/12/2023,non spécifié, INEZGANE AIT MELLOUL, CI,non spécifié," Technicien ,Agent technique de vente",non spécifié,"Arabe: Bon, Francais: Moyen",non spécifié
22,   Commercial/Commerciale, Autres,2,18/12/2023,non spécifié, TANGER-ASSILAH, CDI,non spécifié, Baccalauréat,non spécifié,non spécifié,non spécifié
23,  Comptable, Services fournis principalement aux entreprises,3,18/12/2023, 26/12/2023, MARRAKECH GUELIZ-ENNAKHIL, CDI, Assurer les tâches de comptabilité et les tâches administratives,non spécifié,non spécifié,Francais: Bon," Bac+3 en comptabilité ou en Gestion, sens de communication, expérience dans un poste similaire"
24,   Agent Administratif, Services fournis principalement aux entreprises,10,18/12/2023,non spécifié, CASABLANCA-ANFA, CI,non spécifié, Technicien spécialisé, (moins de 6 mois),"Arabe: Bon, Francais: Bon",non spécifié
25,   Assistant Juridique, Construction,1,18/12/2023, 21/12/2023, EL JADIDA, CI,non spécifié," Diplôme du 2ème cycle universitaire ,Droit privé (langue arabe)",non spécifié,"Arabe: Courant, Francais: Bon",non spécifié
26,   Secrétaire Bureautique Polyvalent, Métallurgie,1,18/12/2023,non spécifié, INEZGANE AIT MELLOUL, CI,non spécifié," Technicien spécialisé ,Assistant (e) de direction",non spécifié,"Francais: Bon, Arabe: Bon",non spécifié
27,  Restaurent à L'AEREPORT Cherche 5 Employers Polyvalents De Restauration, Hôtellerie et restauration,5,17/12/2023,non spécifié, MARRAKECH GUELIZ-ENNAKHIL, CI,non spécifié, Technicien spécialisé,non spécifié,"Anglais: Bon, Francais: Bon", Bac ou plus en restauration ou en gestion hôtelière plus Permis B.
